Date,fund,price,Asset_Class
2009-09-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.897525,Equity
2009-09-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.897525,Equity
2009-09-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.897525,Equity
2009-09-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.899443,Equity
2009-09-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.79463,Equity
2009-09-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.836904,Equity
2009-09-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.120235,Equity
2009-09-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.35834,Equity
2009-09-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.35834,Equity
2009-09-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.35834,Equity
2009-09-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.073191,Equity
2009-09-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.440279,Equity
2009-09-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.15168,Equity
2009-10-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.432753,Equity
2009-10-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,119.815758,Equity
2009-10-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,119.815758,Equity
2009-10-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,119.815758,Equity
2009-10-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.448141,Equity
2009-10-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.926325,Equity
2009-10-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.339385,Equity
2009-10-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.403812,Equity
2009-10-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.137899,Equity
2009-10-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.137899,Equity
2009-10-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.137899,Equity
2009-10-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.974476,Equity
2009-10-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.076589,Equity
2009-10-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.433915,Equity
2009-10-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.311319,Equity
2009-10-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.451608,Equity
2009-10-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.451608,Equity
2009-10-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.451608,Equity
2009-10-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.521225,Equity
2009-10-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.673454,Equity
2009-10-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.882868,Equity
2009-10-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.325381,Equity
2009-10-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.0972,Equity
2009-10-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.0972,Equity
2009-10-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.0972,Equity
2009-10-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.646854,Equity
2009-10-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.672435,Equity
2009-10-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.0015,Equity
2009-10-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.506531,Equity
2009-10-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.902402,Equity
2009-10-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.902402,Equity
2009-11-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.902402,Equity
2009-11-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.905288,Equity
2009-11-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.276716,Equity
2009-11-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.04298,Equity
2009-11-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.255097,Equity
2009-11-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.687459,Equity
2009-11-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.687459,Equity
2009-11-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.687459,Equity
2009-11-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.311588,Equity
2009-11-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.397363,Equity
2009-11-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.176809,Equity
2009-11-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.307332,Equity
2009-11-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.87981,Equity
2009-11-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.87981,Equity
2009-11-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.87981,Equity
2009-11-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.89339,Equity
2009-11-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.141443,Equity
2009-11-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.722999,Equity
2009-11-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.848506,Equity
2009-11-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.037036,Equity
2009-11-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.037036,Equity
2009-11-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.037036,Equity
2009-11-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.268022,Equity
2009-11-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.907179,Equity
2009-11-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.430372,Equity
2009-11-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.899872,Equity
2009-11-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.890914,Equity
2009-11-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.890914,Equity
2009-11-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.890914,Equity
2009-11-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.246022,Equity
2009-12-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.837018,Equity
2009-12-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.85254,Equity
2009-12-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.206628,Equity
2009-12-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.372832,Equity
2009-12-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.372832,Equity
2009-12-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.372832,Equity
2009-12-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.8924,Equity
2009-12-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.573146,Equity
2009-12-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.973633,Equity
2009-12-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.244293,Equity
2009-12-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.556468,Equity
2009-12-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.556468,Equity
2009-12-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.556468,Equity
2009-12-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.251585,Equity
2009-12-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.517676,Equity
2009-12-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.163395,Equity
2009-12-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.253771,Equity
2009-12-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.489394,Equity
2009-12-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.489394,Equity
2009-12-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.489394,Equity
2009-12-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.686523,Equity
2009-12-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.254362,Equity
2009-12-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.672036,Equity
2009-12-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.702514,Equity
2009-12-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.702514,Equity
2009-12-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.702514,Equity
2009-12-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.702514,Equity
2009-12-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.702514,Equity
2009-12-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,129.024282,Equity
2009-12-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.982539,Equity
2009-12-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.443444,Equity
2010-01-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.443444,Equity
2010-01-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.443444,Equity
2010-01-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.443444,Equity
2010-01-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.960644,Equity
2010-01-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.154871,Equity
2010-01-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.562959,Equity
2010-01-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,131.014884,Equity
2010-01-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,131.41887,Equity
2010-01-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,131.41887,Equity
2010-01-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,131.41887,Equity
2010-01-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.601134,Equity
2010-01-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,129.536419,Equity
2010-01-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,129.204121,Equity
2010-01-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,129.463519,Equity
2010-01-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.68639,Equity
2010-01-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.68639,Equity
2010-01-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.68639,Equity
2010-01-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.431019,Equity
2010-01-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.380184,Equity
2010-01-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.230155,Equity
2010-01-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.330294,Equity
2010-01-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.754263,Equity
2010-01-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.754263,Equity
2010-01-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.754263,Equity
2010-01-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.005215,Equity
2010-01-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.673527,Equity
2010-01-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.066443,Equity
2010-01-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.394548,Equity
2010-01-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.182791,Equity
2010-01-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.182791,Equity
2010-01-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.182791,Equity
2010-02-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.162942,Equity
2010-02-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.365764,Equity
2010-02-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.147138,Equity
2010-02-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.825712,Equity
2010-02-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.67801,Equity
2010-02-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.67801,Equity
2010-02-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.67801,Equity
2010-02-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,122.29778,Equity
2010-02-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.661629,Equity
2010-02-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.822358,Equity
2010-02-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.449859,Equity
2010-02-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.089894,Equity
2010-02-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.089894,Equity
2010-02-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,124.089894,Equity
2010-02-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,123.766801,Equity
2010-02-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,125.686716,Equity
2010-02-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,126.366638,Equity
2010-02-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,127.5542,Equity
2010-02-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.91695,Equity
2010-02-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.91695,Equity
2010-02-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.91695,Equity
2010-02-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.998568,Equity
2010-02-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.132473,Equity
2010-02-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,128.604807,Equity
2010-02-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,129.333662,Equity
2010-02-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.616371,Equity
2010-02-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.616371,Equity
2010-02-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,130.616371,Equity
2010-03-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,134.180429,Equity
2010-03-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,135.324967,Equity
2010-03-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,134.919281,Equity
2010-03-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,134.861202,Equity
2010-03-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,136.151243,Equity
2010-03-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,136.151243,Equity
2010-03-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,136.151243,Equity
2010-03-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,137.07013,Equity
2010-03-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,137.854224,Equity
2010-03-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.741369,Equity
2010-03-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.347884,Equity
2010-03-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,137.578306,Equity
2010-03-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,137.578306,Equity
2010-03-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,137.578306,Equity
2010-03-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.282212,Equity
2010-03-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.161147,Equity
2010-03-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.273637,Equity
2010-03-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,138.030483,Equity
2010-03-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.631211,Equity
2010-03-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.631211,Equity
2010-03-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.631211,Equity
2010-03-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.383277,Equity
2010-03-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.28222,Equity
2010-03-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.536849,Equity
2010-03-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.962606,Equity
2010-03-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,141.060643,Equity
2010-03-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,141.060643,Equity
2010-03-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,141.060643,Equity
2010-03-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,141.267556,Equity
2010-03-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.164703,Equity
2010-03-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.40433,Equity
2010-04-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.643497,Equity
2010-04-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.643497,Equity
2010-04-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.643497,Equity
2010-04-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.643497,Equity
2010-04-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,139.643497,Equity
2010-04-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,141.15128,Equity
2010-04-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.624864,Equity
2010-04-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,140.049299,Equity
