Date,ASI Global Inflation-Link Bd P1 Acc,Allianz Strategic Bond C Inc,Allianz Technology Trust Ord,Baillie Gifford Global Inc Growth B Acc,BlackRock European Absolute Alpha D Acc,BlackRock Throgmorton Trust Ord,BlackRock World Mining Trust Ord,Fidelity Asian Values Ord,Fidelity China Special Ord,Fidelity Global Technology W-Acc-GBP,Fundsmith Equity I Acc,HarbourVest Global Priv Equity Ord,HgCapital Trust Ord,Invesco EQQQ NASDAQ-100 ETF GBP,JPM Global Macro Opportunities C Net Acc,JPMorgan China Growth & Income Ord,Janus Henderson Mlt-Ast AbsRet I Acc,Jupiter Strategic AbsRt Bd I £ H Acc,JupiterMerian Glb Eq AbsRt I £ H Acc,L&G All Stocks Index Linked Gt Idx I Acc,L&G Battery Value-Chain ETF GBP,Merian Global Strategic Bond I GBP Acc,Montanaro European Smaller Ord,Pacific Horizon Ord,Pictet - Global Envir Opps I dy GBP,Rathbone Ethical Bond I Inc,Rathbone Global Opportunities S Acc,Rathbone Multi Asset Enhanced Gr S Acc,Rathbone Multi Asset Strategic Gr S Acc,RobecoSAM Sustainable Water Eqs I GBP,Royal London Sterl Extra Yld Bd A,Royal London Sustainable Div C Acc,Scottish Mortgage Ord,Stewart Inv APAC Ldrs Sstby B GBP Acc,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,Trojan Fund X Accumulation,VT Argonaut Absolute Return R GBP Acc,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,Vanguard Glb Bd Idx £ H Acc,WisdomTree Physical Gold GBP,iShares Core S&P 500 ETF USD Acc GBP,iShares Global Water ETF USD Dist GBP,iShares S&P SmallCap 600 ETF USD Dist GBP,NASDAQ Composite,S&P 500
06/08/2010,0.002909092,0.003167001,0,-0.004992253,-0.001511031,0.001792115,0.000866551,-0.014044944,0.00191022,-0.015748031,,0,-0.0175,-0.018976618,,-0.015384615,0.00231539,0.000297089,0.001010407,0.002738976,,0.001976843,0.002824859,-0.011844332,,0.001475651,-0.00135667,,0.004266211,-0.010796004,0.001175162,,-0.008417508,0.003684691,,,0.000294464,-0.009671226,-0.002526136,0.004168908,,-0.013148283,-0.030872483,-0.00200173,-0.003704039
09/08/2010,0.002175489,0.002002002,0,-0.002595156,0.001311542,0.007155635,0.014718615,0.005698006,0.004766444,0.016,,0,0.010178117,0.019689119,,0,0,0.006138006,0.000403755,0.000409725,,0.001972943,0.005633803,0.005136986,,0.001964636,-0.001766063,,0.000169924,0.007818863,0.0020646,,0.013582343,-0.00260433,,,-0.000294378,0.005374089,-0.001154616,-0.003481987,,0.009622502,0.021468144,0.007524665,0.005483064
10/08/2010,-0.001447179,-7.68E-05,-0.001754386,0.007111882,0.000100756,-0.001776199,-0.018771331,-0.005665722,-0.0028463,0,,0,0.008816121,0.002710027,,-0.001736111,-0.000412507,-0.005706976,-0.000807184,-0.001638225,,0.00121894,0.00140056,-0.003407155,,0.000367647,0.005851931,,0.000254841,-0.004606433,0.00240548,,-0.002512563,0.006480637,,,-0.00147232,0.00337221,0.009030253,0.008197823,,-0.002199413,-0.002033898,-0.012369408,-0.005967405
11/08/2010,0.000724639,0.002382416,-0.001757469,-0.014640028,-0.002417892,-0.010676157,-0.030434783,-0.004273504,-0.012369172,-0.023622047,,0,0,-0.02027027,,0.006956522,-0.000165072,-0.000890648,-0.000504898,0.005469711,,0.002434913,0,-0.011965812,,0.00061252,-0.010688675,,-8.49E-05,-0.024437769,-0.000260838,,-0.023509656,-0.010814866,,,-0.003931977,-0.023168901,0.003984561,0.003865636,,-0.022042616,-0.026494565,-0.030098781,-0.028178765
12/08/2010,0.003620563,0.000460017,-0.001760563,-0.008215347,0.001615835,0.003597122,-0.005381166,-0.00286123,-0.005780347,-0.008064517,,0,-0.010611735,0.000344828,,0.005181347,-0.001320785,-0.003169572,-0.002323702,-0.000543996,,0.001214499,-0.002097902,-0.003460208,,0.000857004,-0.013812911,,-0.006369967,-0.005076565,0.000438322,,0.002579536,-0.007994439,,,-0.006710747,-0.002202288,0.001447559,0.019784889,,0,-0.00209351,-0.008312784,-0.005378749
13/08/2010,-0.0007215,0.000919611,-0.021164021,0.002996123,0.001814882,0.003584229,0.00541028,0.00286944,0.001937984,0,,0,-0.010725552,-0.008617718,,-0.018900344,-0.002479749,-0.000198728,-0.000708861,0.005442917,,0.000466548,-0.002102313,0.020833333,,0.001712538,-0.001109415,,-0.007009147,-0.001171058,0.000479856,,-0.006003431,0.004586864,,,-0.004172877,-0.002556567,-0.001467328,0.000260417,,-0.002253944,-0.011888112,-0.007665739,-0.004023574
16/08/2010,0.001444044,0.002985989,-0.010810811,0,-0.000201288,-0.007142857,0.00896861,0,-0.001934236,0,,0,-0.001913265,-0.003129346,,0.019264448,0.000911502,0.003279666,-0.005066883,0.005684126,,0.004290244,0,-0.008503401,,-0.000122115,0.004303761,,-0.00111905,-0.002512352,0.000854986,,0.001725626,0.000539032,,,0.002693805,-0.00363226,0.001989672,0.002863838,,-0.005271084,-0.006369427,0.003860232,0.000120459
17/08/2010,0.003604903,0.001832061,0.030054645,0.007204358,-0.000201329,0.010791367,0.013333333,0.007153076,0.006782946,0.016260164,,0,0.006389776,0.021625392,,-0.010309278,0.000910672,0.006636949,-0.002342636,0.000672857,,0.003621842,0,0.005145798,,0.000977039,0.003317668,,0.000947949,0.01914197,0.00134389,,0.011197244,0.006243068,,,0.003184079,0.018093696,0.005745655,0.007528557,,0.020439061,0.032763533,0.012635869,0.012192216
18/08/2010,-0.002873564,0.001295337,-0.015030946,0.00645499,0.000906162,-0.007117438,0.010526316,-0.002840909,0.000962464,0,,0,0.003174603,-0.004779788,,0.006944444,0.000744416,0.001082464,-0.000510465,-0.006993007,,0.001480522,0,-0.001706485,,0,0.009506751,,0.002066294,-0.011038801,0.001040377,,0.005110733,0.002582514,,,0.00267804,0.00081087,2.69E-05,0.001803659,,-0.005934718,-0.002068966,0.002833302,0.001482779
19/08/2010,-0.00072046,0.000837075,0,0.000866701,-0.000502968,0.001792115,-0.0078125,0.008547009,-0.009615385,-0.008,,0,0.006329114,-0.017838765,,0.010344828,0.000991818,-0.000786395,0.003472932,-0.001083425,,-0.001293542,0,-0.008547009,,0.000610054,0.003957962,,0.003007131,-0.015410246,0.00231763,,-0.011864407,0.007696174,,,0.001187061,-0.012957059,-0.000145989,0.001800412,,-0.020895522,-0.022805805,-0.016586181,-0.016935392
