Date,Name,NAV
11/28/2019,Baillie Gifford Global Discovery B Acc,16.6,
11/29/2019,Baillie Gifford Global Discovery B Acc,16.73,
11/30/2019,Baillie Gifford Global Discovery B Acc,16.73,
12/01/2019,Baillie Gifford Global Discovery B Acc,16.73,
12/02/2019,Baillie Gifford Global Discovery B Acc,16.55,
12/03/2019,Baillie Gifford Global Discovery B Acc,16.31,
12/04/2019,Baillie Gifford Global Discovery B Acc,16.27,
12/05/2019,Baillie Gifford Global Discovery B Acc,16.19,
12/06/2019,Baillie Gifford Global Discovery B Acc,16.06,
12/07/2019,Baillie Gifford Global Discovery B Acc,16.06,
12/08/2019,Baillie Gifford Global Discovery B Acc,16.06,
12/09/2019,Baillie Gifford Global Discovery B Acc,16,
12/10/2019,Baillie Gifford Global Discovery B Acc,15.92,
12/11/2019,Baillie Gifford Global Discovery B Acc,15.9,
12/12/2019,Baillie Gifford Global Discovery B Acc,15.83,
12/13/2019,Baillie Gifford Global Discovery B Acc,15.65,
12/14/2019,Baillie Gifford Global Discovery B Acc,15.65,
12/15/2019,Baillie Gifford Global Discovery B Acc,15.65,
12/16/2019,Baillie Gifford Global Discovery B Acc,15.77,
12/17/2019,Baillie Gifford Global Discovery B Acc,15.96,
12/18/2019,Baillie Gifford Global Discovery B Acc,16,
12/19/2019,Baillie Gifford Global Discovery B Acc,16.09,
12/20/2019,Baillie Gifford Global Discovery B Acc,16.26,
12/21/2019,Baillie Gifford Global Discovery B Acc,16.26,
12/22/2019,Baillie Gifford Global Discovery B Acc,16.26,
12/23/2019,Baillie Gifford Global Discovery B Acc,16.36,
12/24/2019,Baillie Gifford Global Discovery B Acc,16.51,
12/25/2019,Baillie Gifford Global Discovery B Acc,16.51,
12/26/2019,Baillie Gifford Global Discovery B Acc,16.51,
12/27/2019,Baillie Gifford Global Discovery B Acc,16.48,
12/28/2019,Baillie Gifford Global Discovery B Acc,16.48,
12/29/2019,Baillie Gifford Global Discovery B Acc,16.48,
12/30/2019,Baillie Gifford Global Discovery B Acc,16.41,
12/31/2019,Baillie Gifford Global Discovery B Acc,16.21,
01/01/2020,Baillie Gifford Global Discovery B Acc,16.21,
01/02/2020,Baillie Gifford Global Discovery B Acc,16.28,
01/03/2020,Baillie Gifford Global Discovery B Acc,16.26,
01/04/2020,Baillie Gifford Global Discovery B Acc,16.26,
01/05/2020,Baillie Gifford Global Discovery B Acc,16.26,
01/06/2020,Baillie Gifford Global Discovery B Acc,16.13,
01/07/2020,Baillie Gifford Global Discovery B Acc,16.27,
01/08/2020,Baillie Gifford Global Discovery B Acc,16.42,
01/09/2020,Baillie Gifford Global Discovery B Acc,16.65,
01/10/2020,Baillie Gifford Global Discovery B Acc,16.75,
01/11/2020,Baillie Gifford Global Discovery B Acc,16.75,
01/12/2020,Baillie Gifford Global Discovery B Acc,16.75,
01/13/2020,Baillie Gifford Global Discovery B Acc,16.89,
01/14/2020,Baillie Gifford Global Discovery B Acc,17.13,
01/15/2020,Baillie Gifford Global Discovery B Acc,17.2,
01/16/2020,Baillie Gifford Global Discovery B Acc,17.15,
01/17/2020,Baillie Gifford Global Discovery B Acc,17.47,
01/18/2020,Baillie Gifford Global Discovery B Acc,17.47,
01/19/2020,Baillie Gifford Global Discovery B Acc,17.47,
01/20/2020,Baillie Gifford Global Discovery B Acc,17.52,
01/21/2020,Baillie Gifford Global Discovery B Acc,17.37,
01/22/2020,Baillie Gifford Global Discovery B Acc,17.4,
01/23/2020,Baillie Gifford Global Discovery B Acc,17.27,
01/24/2020,Baillie Gifford Global Discovery B Acc,17.38,
01/25/2020,Baillie Gifford Global Discovery B Acc,17.38,
01/26/2020,Baillie Gifford Global Discovery B Acc,17.38,
01/27/2020,Baillie Gifford Global Discovery B Acc,16.96,
01/28/2020,Baillie Gifford Global Discovery B Acc,16.95,
01/29/2020,Baillie Gifford Global Discovery B Acc,17.14,
01/30/2020,Baillie Gifford Global Discovery B Acc,17.17,
01/31/2020,Baillie Gifford Global Discovery B Acc,16.98,
02/01/2020,Baillie Gifford Global Discovery B Acc,16.98,
02/02/2020,Baillie Gifford Global Discovery B Acc,16.98,
02/03/2020,Baillie Gifford Global Discovery B Acc,16.8,
02/04/2020,Baillie Gifford Global Discovery B Acc,17.26,
02/05/2020,Baillie Gifford Global Discovery B Acc,17.65,
02/06/2020,Baillie Gifford Global Discovery B Acc,17.56,
02/07/2020,Baillie Gifford Global Discovery B Acc,17.77,
02/08/2020,Baillie Gifford Global Discovery B Acc,17.77,
02/09/2020,Baillie Gifford Global Discovery B Acc,17.77,
02/10/2020,Baillie Gifford Global Discovery B Acc,17.7,
02/11/2020,Baillie Gifford Global Discovery B Acc,17.93,
02/12/2020,Baillie Gifford Global Discovery B Acc,17.87,
02/13/2020,Baillie Gifford Global Discovery B Acc,17.88,
02/14/2020,Baillie Gifford Global Discovery B Acc,17.9,
02/15/2020,Baillie Gifford Global Discovery B Acc,17.9,
02/16/2020,Baillie Gifford Global Discovery B Acc,17.9,
02/17/2020,Baillie Gifford Global Discovery B Acc,17.9,
02/18/2020,Baillie Gifford Global Discovery B Acc,17.84,
02/19/2020,Baillie Gifford Global Discovery B Acc,18.16,
02/20/2020,Baillie Gifford Global Discovery B Acc,18.51,
02/21/2020,Baillie Gifford Global Discovery B Acc,18.45,
02/22/2020,Baillie Gifford Global Discovery B Acc,18.45,
02/23/2020,Baillie Gifford Global Discovery B Acc,18.45,
02/24/2020,Baillie Gifford Global Discovery B Acc,17.67,
02/25/2020,Baillie Gifford Global Discovery B Acc,17.35,
02/26/2020,Baillie Gifford Global Discovery B Acc,16.75,
