Date,Name,NAV
12/04/2017,Baillie Gifford Positive Change B Acc,1.402,
12/05/2017,Baillie Gifford Positive Change B Acc,1.387,
12/06/2017,Baillie Gifford Positive Change B Acc,1.384,
12/07/2017,Baillie Gifford Positive Change B Acc,1.396,
12/08/2017,Baillie Gifford Positive Change B Acc,1.387,
12/09/2017,Baillie Gifford Positive Change B Acc,1.387,
12/10/2017,Baillie Gifford Positive Change B Acc,1.387,
12/11/2017,Baillie Gifford Positive Change B Acc,1.408,
12/12/2017,Baillie Gifford Positive Change B Acc,1.404,
12/13/2017,Baillie Gifford Positive Change B Acc,1.407,
12/14/2017,Baillie Gifford Positive Change B Acc,1.404,
12/15/2017,Baillie Gifford Positive Change B Acc,1.401,
12/16/2017,Baillie Gifford Positive Change B Acc,1.401,
12/17/2017,Baillie Gifford Positive Change B Acc,1.401,
12/18/2017,Baillie Gifford Positive Change B Acc,1.423,
12/19/2017,Baillie Gifford Positive Change B Acc,1.425,
12/20/2017,Baillie Gifford Positive Change B Acc,1.421,
12/21/2017,Baillie Gifford Positive Change B Acc,1.42,
12/22/2017,Baillie Gifford Positive Change B Acc,1.419,
12/23/2017,Baillie Gifford Positive Change B Acc,1.419,
12/24/2017,Baillie Gifford Positive Change B Acc,1.419,
12/25/2017,Baillie Gifford Positive Change B Acc,1.419,
12/26/2017,Baillie Gifford Positive Change B Acc,1.419,
12/27/2017,Baillie Gifford Positive Change B Acc,1.425,
12/28/2017,Baillie Gifford Positive Change B Acc,1.43,
12/29/2017,Baillie Gifford Positive Change B Acc,1.431,
12/30/2017,Baillie Gifford Positive Change B Acc,1.431,
12/31/2017,Baillie Gifford Positive Change B Acc,1.431,
01/01/2018,Baillie Gifford Positive Change B Acc,1.431,
01/02/2018,Baillie Gifford Positive Change B Acc,1.422,
01/03/2018,Baillie Gifford Positive Change B Acc,1.438,
01/04/2018,Baillie Gifford Positive Change B Acc,1.459,
01/05/2018,Baillie Gifford Positive Change B Acc,1.466,
01/06/2018,Baillie Gifford Positive Change B Acc,1.466,
01/07/2018,Baillie Gifford Positive Change B Acc,1.466,
01/08/2018,Baillie Gifford Positive Change B Acc,1.469,
01/09/2018,Baillie Gifford Positive Change B Acc,1.476,
01/10/2018,Baillie Gifford Positive Change B Acc,1.481,
01/11/2018,Baillie Gifford Positive Change B Acc,1.471,
01/12/2018,Baillie Gifford Positive Change B Acc,1.463,
01/13/2018,Baillie Gifford Positive Change B Acc,1.463,
01/14/2018,Baillie Gifford Positive Change B Acc,1.463,
01/15/2018,Baillie Gifford Positive Change B Acc,1.46,
01/16/2018,Baillie Gifford Positive Change B Acc,1.465,
01/17/2018,Baillie Gifford Positive Change B Acc,1.462,
01/18/2018,Baillie Gifford Positive Change B Acc,1.464,
01/19/2018,Baillie Gifford Positive Change B Acc,1.466,
01/20/2018,Baillie Gifford Positive Change B Acc,1.466,
01/21/2018,Baillie Gifford Positive Change B Acc,1.466,
01/22/2018,Baillie Gifford Positive Change B Acc,1.476,
01/23/2018,Baillie Gifford Positive Change B Acc,1.485,
