Date,Name,NAV
09/11/2019,L&G Global Technology Index I Acc,0.5946,
09/12/2019,L&G Global Technology Index I Acc,0.5991,
09/13/2019,L&G Global Technology Index I Acc,0.5927,
09/14/2019,L&G Global Technology Index I Acc,0.5927,
09/15/2019,L&G Global Technology Index I Acc,0.5927,
09/16/2019,L&G Global Technology Index I Acc,0.5913,
09/17/2019,L&G Global Technology Index I Acc,0.5901,
09/18/2019,L&G Global Technology Index I Acc,0.5902,
09/19/2019,L&G Global Technology Index I Acc,0.596,
09/20/2019,L&G Global Technology Index I Acc,0.595,
09/21/2019,L&G Global Technology Index I Acc,0.595,
09/22/2019,L&G Global Technology Index I Acc,0.595,
09/23/2019,L&G Global Technology Index I Acc,0.5914,
09/24/2019,L&G Global Technology Index I Acc,0.5932,
09/25/2019,L&G Global Technology Index I Acc,0.5842,
09/26/2019,L&G Global Technology Index I Acc,0.5922,
09/27/2019,L&G Global Technology Index I Acc,0.5939,
09/28/2019,L&G Global Technology Index I Acc,0.5939,
09/29/2019,L&G Global Technology Index I Acc,0.5939,
09/30/2019,L&G Global Technology Index I Acc,0.5922,
10/01/2019,L&G Global Technology Index I Acc,0.6041,
10/02/2019,L&G Global Technology Index I Acc,0.583,
10/03/2019,L&G Global Technology Index I Acc,0.5753,
10/04/2019,L&G Global Technology Index I Acc,0.5923,
10/05/2019,L&G Global Technology Index I Acc,0.5923,
10/06/2019,L&G Global Technology Index I Acc,0.5923,
10/07/2019,L&G Global Technology Index I Acc,0.5932,
10/08/2019,L&G Global Technology Index I Acc,0.5922,
10/09/2019,L&G Global Technology Index I Acc,0.5942,
10/10/2019,L&G Global Technology Index I Acc,0.6,
10/11/2019,L&G Global Technology Index I Acc,0.5875,
10/12/2019,L&G Global Technology Index I Acc,0.5875,
10/13/2019,L&G Global Technology Index I Acc,0.5875,
10/14/2019,L&G Global Technology Index I Acc,0.592,
10/15/2019,L&G Global Technology Index I Acc,0.5934,
10/16/2019,L&G Global Technology Index I Acc,0.5831,
10/17/2019,L&G Global Technology Index I Acc,0.5861,
10/18/2019,L&G Global Technology Index I Acc,0.5799,
10/19/2019,L&G Global Technology Index I Acc,0.5799,
10/20/2019,L&G Global Technology Index I Acc,0.5799,
10/21/2019,L&G Global Technology Index I Acc,0.5744,
10/22/2019,L&G Global Technology Index I Acc,0.5822,
10/23/2019,L&G Global Technology Index I Acc,0.577,
10/24/2019,L&G Global Technology Index I Acc,0.5812,
10/25/2019,L&G Global Technology Index I Acc,0.5875,
10/26/2019,L&G Global Technology Index I Acc,0.5875,
10/27/2019,L&G Global Technology Index I Acc,0.5875,
10/28/2019,L&G Global Technology Index I Acc,0.5954,
10/29/2019,L&G Global Technology Index I Acc,0.5941,
10/30/2019,L&G Global Technology Index I Acc,0.5923,
10/31/2019,L&G Global Technology Index I Acc,0.5905,
11/01/2019,L&G Global Technology Index I Acc,0.5946,
11/02/2019,L&G Global Technology Index I Acc,0.5946,
11/03/2019,L&G Global Technology Index I Acc,0.5946,
11/04/2019,L&G Global Technology Index I Acc,0.6042,
11/05/2019,L&G Global Technology Index I Acc,0.607,
11/06/2019,L&G Global Technology Index I Acc,0.606,
11/07/2019,L&G Global Technology Index I Acc,0.6135,
11/08/2019,L&G Global Technology Index I Acc,0.6098,
11/09/2019,L&G Global Technology Index I Acc,0.6098,
11/10/2019,L&G Global Technology Index I Acc,0.6098,
11/11/2019,L&G Global Technology Index I Acc,0.6083,
11/12/2019,L&G Global Technology Index I Acc,0.615,
11/13/2019,L&G Global Technology Index I Acc,0.6146,
11/14/2019,L&G Global Technology Index I Acc,0.6142,
11/15/2019,L&G Global Technology Index I Acc,0.6156,
11/16/2019,L&G Global Technology Index I Acc,0.6156,
11/17/2019,L&G Global Technology Index I Acc,0.6156,
11/18/2019,L&G Global Technology Index I Acc,0.6147,
11/19/2019,L&G Global Technology Index I Acc,0.619,
11/20/2019,L&G Global Technology Index I Acc,0.6181,
11/21/2019,L&G Global Technology Index I Acc,0.6122,
11/22/2019,L&G Global Technology Index I Acc,0.6181,
11/23/2019,L&G Global Technology Index I Acc,0.6181,
11/24/2019,L&G Global Technology Index I Acc,0.6181,
11/25/2019,L&G Global Technology Index I Acc,0.6191,
11/26/2019,L&G Global Technology Index I Acc,0.6235,
11/27/2019,L&G Global Technology Index I Acc,0.6232,
11/28/2019,L&G Global Technology Index I Acc,0.6227,
11/29/2019,L&G Global Technology Index I Acc,0.6209,
11/30/2019,L&G Global Technology Index I Acc,0.6209,
12/01/2019,L&G Global Technology Index I Acc,0.6209,
12/02/2019,L&G Global Technology Index I Acc,0.6126,
12/03/2019,L&G Global Technology Index I Acc,0.6002,
12/04/2019,L&G Global Technology Index I Acc,0.6027,
12/05/2019,L&G Global Technology Index I Acc,0.602,
12/06/2019,L&G Global Technology Index I Acc,0.6091,
12/07/2019,L&G Global Technology Index I Acc,0.6091,
12/08/2019,L&G Global Technology Index I Acc,0.6091,
12/09/2019,L&G Global Technology Index I Acc,0.6108,
12/10/2019,L&G Global Technology Index I Acc,0.6064,
12/11/2019,L&G Global Technology Index I Acc,0.6087,
12/12/2019,L&G Global Technology Index I Acc,0.6175,
12/13/2019,L&G Global Technology Index I Acc,0.6129,
12/14/2019,L&G Global Technology Index I Acc,0.6129,
12/15/2019,L&G Global Technology Index I Acc,0.6129,
12/16/2019,L&G Global Technology Index I Acc,0.619,
12/17/2019,L&G Global Technology Index I Acc,0.6274,
12/18/2019,L&G Global Technology Index I Acc,0.6322,
12/19/2019,L&G Global Technology Index I Acc,0.6347,
12/20/2019,L&G Global Technology Index I Acc,0.6382,
12/21/2019,L&G Global Technology Index I Acc,0.6382,
12/22/2019,L&G Global Technology Index I Acc,0.6382,
12/23/2019,L&G Global Technology Index I Acc,0.6463,
