Date,Name,NAV
11/19/2011,Liontrust Global Alpha C Acc GBP,2.632,
11/20/2011,Liontrust Global Alpha C Acc GBP,2.632,
11/21/2011,Liontrust Global Alpha C Acc GBP,2.631,
11/22/2011,Liontrust Global Alpha C Acc GBP,2.62,
11/23/2011,Liontrust Global Alpha C Acc GBP,2.611,
11/24/2011,Liontrust Global Alpha C Acc GBP,2.587,
11/25/2011,Liontrust Global Alpha C Acc GBP,2.573,
11/26/2011,Liontrust Global Alpha C Acc GBP,2.573,
11/27/2011,Liontrust Global Alpha C Acc GBP,2.573,
11/28/2011,Liontrust Global Alpha C Acc GBP,2.593,
11/29/2011,Liontrust Global Alpha C Acc GBP,2.636,
11/30/2011,Liontrust Global Alpha C Acc GBP,2.629,
12/01/2011,Liontrust Global Alpha C Acc GBP,2.709,
12/02/2011,Liontrust Global Alpha C Acc GBP,2.705,
12/03/2011,Liontrust Global Alpha C Acc GBP,2.705,
12/04/2011,Liontrust Global Alpha C Acc GBP,2.705,
12/05/2011,Liontrust Global Alpha C Acc GBP,2.714,
12/06/2011,Liontrust Global Alpha C Acc GBP,2.702,
12/07/2011,Liontrust Global Alpha C Acc GBP,2.694,
12/08/2011,Liontrust Global Alpha C Acc GBP,2.671,
12/09/2011,Liontrust Global Alpha C Acc GBP,2.614,
12/10/2011,Liontrust Global Alpha C Acc GBP,2.614,
12/11/2011,Liontrust Global Alpha C Acc GBP,2.614,
12/12/2011,Liontrust Global Alpha C Acc GBP,2.635,
12/13/2011,Liontrust Global Alpha C Acc GBP,2.59,
12/14/2011,Liontrust Global Alpha C Acc GBP,2.592,
12/15/2011,Liontrust Global Alpha C Acc GBP,2.541,
12/16/2011,Liontrust Global Alpha C Acc GBP,2.544,
12/17/2011,Liontrust Global Alpha C Acc GBP,2.544,
12/18/2011,Liontrust Global Alpha C Acc GBP,2.544,
12/19/2011,Liontrust Global Alpha C Acc GBP,2.55,
12/20/2011,Liontrust Global Alpha C Acc GBP,2.514,
12/21/2011,Liontrust Global Alpha C Acc GBP,2.563,
12/22/2011,Liontrust Global Alpha C Acc GBP,2.548,
12/23/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/24/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/25/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/26/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/27/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/28/2011,Liontrust Global Alpha C Acc GBP,2.576,
12/29/2011,Liontrust Global Alpha C Acc GBP,2.595,
12/30/2011,Liontrust Global Alpha C Acc GBP,2.595,
12/31/2011,Liontrust Global Alpha C Acc GBP,2.595,
01/01/2012,Liontrust Global Alpha C Acc GBP,2.595,
01/02/2012,Liontrust Global Alpha C Acc GBP,2.595,
