Date,Name,Close,High,Low,Open,Volume
12/07/2018,iShares Global Water ETF USD Dist GBP,29.82,,,,
12/08/2018,iShares Global Water ETF USD Dist GBP,29.82,,,,
12/09/2018,iShares Global Water ETF USD Dist GBP,29.82,,,,
12/10/2018,iShares Global Water ETF USD Dist GBP,29.695,,,,
12/11/2018,iShares Global Water ETF USD Dist GBP,30.12,,,,
12/12/2018,iShares Global Water ETF USD Dist GBP,30.37,,,,
12/13/2018,iShares Global Water ETF USD Dist GBP,30.26,,,,
12/14/2018,iShares Global Water ETF USD Dist GBP,30.025,,,,
12/15/2018,iShares Global Water ETF USD Dist GBP,30.025,,,,
12/16/2018,iShares Global Water ETF USD Dist GBP,30.025,,,,
12/17/2018,iShares Global Water ETF USD Dist GBP,29.95,,,,
12/18/2018,iShares Global Water ETF USD Dist GBP,29.425,,,,
12/19/2018,iShares Global Water ETF USD Dist GBP,29.515,,,,
12/20/2018,iShares Global Water ETF USD Dist GBP,29.24,,,,
12/21/2018,iShares Global Water ETF USD Dist GBP,29.225,,,,
12/22/2018,iShares Global Water ETF USD Dist GBP,29.225,,,,
12/23/2018,iShares Global Water ETF USD Dist GBP,29.225,,,,
12/24/2018,iShares Global Water ETF USD Dist GBP,28.575,,,,
12/25/2018,iShares Global Water ETF USD Dist GBP,28.575,,,,
12/26/2018,iShares Global Water ETF USD Dist GBP,28.575,,,,
12/27/2018,iShares Global Water ETF USD Dist GBP,28.435,,,,
12/28/2018,iShares Global Water ETF USD Dist GBP,28.94,,,,
12/29/2018,iShares Global Water ETF USD Dist GBP,28.94,,,,
12/30/2018,iShares Global Water ETF USD Dist GBP,28.94,,,,
12/31/2018,iShares Global Water ETF USD Dist GBP,28.98,,,,
01/01/2019,iShares Global Water ETF USD Dist GBP,28.98,,,,
01/02/2019,iShares Global Water ETF USD Dist GBP,29.115,,,,
01/03/2019,iShares Global Water ETF USD Dist GBP,28.885,,,,
01/04/2019,iShares Global Water ETF USD Dist GBP,29.215,,,,
01/05/2019,iShares Global Water ETF USD Dist GBP,29.215,,,,
01/06/2019,iShares Global Water ETF USD Dist GBP,29.215,,,,
01/07/2019,iShares Global Water ETF USD Dist GBP,29.305,,,,
01/08/2019,iShares Global Water ETF USD Dist GBP,29.485,,,,
01/09/2019,iShares Global Water ETF USD Dist GBP,29.75,,,,
01/10/2019,iShares Global Water ETF USD Dist GBP,29.81,,,,
01/11/2019,iShares Global Water ETF USD Dist GBP,29.69,,,,
01/12/2019,iShares Global Water ETF USD Dist GBP,29.69,,,,
01/13/2019,iShares Global Water ETF USD Dist GBP,29.69,,,,
01/14/2019,iShares Global Water ETF USD Dist GBP,29.435,,,,
01/15/2019,iShares Global Water ETF USD Dist GBP,29.79,,,,
01/16/2019,iShares Global Water ETF USD Dist GBP,29.825,,,,
01/17/2019,iShares Global Water ETF USD Dist GBP,29.88,,,,
01/18/2019,iShares Global Water ETF USD Dist GBP,30.4,,,,
01/19/2019,iShares Global Water ETF USD Dist GBP,30.4,,,,
01/20/2019,iShares Global Water ETF USD Dist GBP,30.4,,,,
01/21/2019,iShares Global Water ETF USD Dist GBP,30.28,,,,
01/22/2019,iShares Global Water ETF USD Dist GBP,29.99,,,,
01/23/2019,iShares Global Water ETF USD Dist GBP,29.76,,,,
01/24/2019,iShares Global Water ETF USD Dist GBP,29.935,,,,
01/25/2019,iShares Global Water ETF USD Dist GBP,29.89,,,,
01/26/2019,iShares Global Water ETF USD Dist GBP,29.89,,,,
01/27/2019,iShares Global Water ETF USD Dist GBP,29.89,,,,
01/28/2019,iShares Global Water ETF USD Dist GBP,29.605,,,,
01/29/2019,iShares Global Water ETF USD Dist GBP,29.855,,,,
01/30/2019,iShares Global Water ETF USD Dist GBP,30.01,,,,
01/31/2019,iShares Global Water ETF USD Dist GBP,30.35,,,,
02/01/2019,iShares Global Water ETF USD Dist GBP,30.46,,,,
02/02/2019,iShares Global Water ETF USD Dist GBP,30.46,,,,
02/03/2019,iShares Global Water ETF USD Dist GBP,30.46,,,,
02/04/2019,iShares Global Water ETF USD Dist GBP,30.39,,,,
02/05/2019,iShares Global Water ETF USD Dist GBP,30.875,,,,
02/06/2019,iShares Global Water ETF USD Dist GBP,30.89,,,,
02/07/2019,iShares Global Water ETF USD Dist GBP,30.57,,,,
02/08/2019,iShares Global Water ETF USD Dist GBP,30.61,,,,
