Date,Name,Close,High,Low,Open,Volume
06/09/2020,iShares $ TIPS ETF USD Acc GBP,180.995,,,,,
06/10/2020,iShares $ TIPS ETF USD Acc GBP,181.19,,,,,
06/11/2020,iShares $ TIPS ETF USD Acc GBP,183.575,,,,,
06/12/2020,iShares $ TIPS ETF USD Acc GBP,184.925,,,,,
06/13/2020,iShares $ TIPS ETF USD Acc GBP,184.925,,,,,
06/14/2020,iShares $ TIPS ETF USD Acc GBP,184.925,,,,,
06/15/2020,iShares $ TIPS ETF USD Acc GBP,184.405,,,,,
06/16/2020,iShares $ TIPS ETF USD Acc GBP,183.465,,,,,
06/17/2020,iShares $ TIPS ETF USD Acc GBP,184.79,,,,,
06/18/2020,iShares $ TIPS ETF USD Acc GBP,186.185,,,,,
06/19/2020,iShares $ TIPS ETF USD Acc GBP,187.845,,,,,
06/20/2020,iShares $ TIPS ETF USD Acc GBP,187.845,,,,,
06/21/2020,iShares $ TIPS ETF USD Acc GBP,187.845,,,,,
06/22/2020,iShares $ TIPS ETF USD Acc GBP,187.255,,,,,
06/23/2020,iShares $ TIPS ETF USD Acc GBP,186.295,,,,,
06/24/2020,iShares $ TIPS ETF USD Acc GBP,187.735,,,,,
06/25/2020,iShares $ TIPS ETF USD Acc GBP,188.015,,,,,
06/26/2020,iShares $ TIPS ETF USD Acc GBP,189.575,,,,,
06/27/2020,iShares $ TIPS ETF USD Acc GBP,189.575,,,,,
06/28/2020,iShares $ TIPS ETF USD Acc GBP,189.575,,,,,
06/29/2020,iShares $ TIPS ETF USD Acc GBP,190.635,,,,,
06/30/2020,iShares $ TIPS ETF USD Acc GBP,188.905,,,,,
07/01/2020,iShares $ TIPS ETF USD Acc GBP,187.58,,,,,
07/02/2020,iShares $ TIPS ETF USD Acc GBP,187.69,,,,,
07/03/2020,iShares $ TIPS ETF USD Acc GBP,188.09,,,,,
07/04/2020,iShares $ TIPS ETF USD Acc GBP,188.09,,,,,
07/05/2020,iShares $ TIPS ETF USD Acc GBP,188.09,,,,,
07/06/2020,iShares $ TIPS ETF USD Acc GBP,187.595,,,,,
07/07/2020,iShares $ TIPS ETF USD Acc GBP,186.57,,,,,
07/08/2020,iShares $ TIPS ETF USD Acc GBP,186.57,,,,,
07/09/2020,iShares $ TIPS ETF USD Acc GBP,186.17,,,,,
07/10/2020,iShares $ TIPS ETF USD Acc GBP,185.85,,,,,
07/11/2020,iShares $ TIPS ETF USD Acc GBP,185.85,,,,,
07/12/2020,iShares $ TIPS ETF USD Acc GBP,185.85,,,,,
07/13/2020,iShares $ TIPS ETF USD Acc GBP,186.375,,,,,
07/14/2020,iShares $ TIPS ETF USD Acc GBP,188.155,,,,,
