Date,Name,Close,High,Low,Open,Volume
01/07/2004,Fidelity Asian Values Ord,0.64,,,,
01/08/2004,Fidelity Asian Values Ord,0.64,,,,
01/09/2004,Fidelity Asian Values Ord,0.6425,,,,
01/10/2004,Fidelity Asian Values Ord,0.6425,,,,
01/11/2004,Fidelity Asian Values Ord,0.6425,,,,
01/12/2004,Fidelity Asian Values Ord,0.6425,,,,
01/13/2004,Fidelity Asian Values Ord,0.6425,,,,
01/14/2004,Fidelity Asian Values Ord,0.6375,,,,
01/15/2004,Fidelity Asian Values Ord,0.6275,,,,
01/16/2004,Fidelity Asian Values Ord,0.63,,,,
01/17/2004,Fidelity Asian Values Ord,0.63,,,,
01/18/2004,Fidelity Asian Values Ord,0.63,,,,
01/19/2004,Fidelity Asian Values Ord,0.63,,,,
01/20/2004,Fidelity Asian Values Ord,0.64,,,,
01/21/2004,Fidelity Asian Values Ord,0.6375,,,,
01/22/2004,Fidelity Asian Values Ord,0.6375,,,,
01/23/2004,Fidelity Asian Values Ord,0.645,,,,
01/24/2004,Fidelity Asian Values Ord,0.645,,,,
01/25/2004,Fidelity Asian Values Ord,0.645,,,,
01/26/2004,Fidelity Asian Values Ord,0.645,,,,
01/27/2004,Fidelity Asian Values Ord,0.6475,,,,
01/28/2004,Fidelity Asian Values Ord,0.64,,,,
01/29/2004,Fidelity Asian Values Ord,0.6275,,,,
01/30/2004,Fidelity Asian Values Ord,0.6275,,,,
01/31/2004,Fidelity Asian Values Ord,0.6275,,,,
02/01/2004,Fidelity Asian Values Ord,0.6275,,,,
02/02/2004,Fidelity Asian Values Ord,0.6225,,,,
02/03/2004,Fidelity Asian Values Ord,0.62,,,,
02/04/2004,Fidelity Asian Values Ord,0.61,,,,
02/05/2004,Fidelity Asian Values Ord,0.61,,,,
02/06/2004,Fidelity Asian Values Ord,0.6175,,,,
02/07/2004,Fidelity Asian Values Ord,0.6175,,,,
02/08/2004,Fidelity Asian Values Ord,0.6175,,,,
02/09/2004,Fidelity Asian Values Ord,0.6325,,,,
02/10/2004,Fidelity Asian Values Ord,0.6375,,,,
02/11/2004,Fidelity Asian Values Ord,0.6375,,,,
02/12/2004,Fidelity Asian Values Ord,0.64,,,,
02/13/2004,Fidelity Asian Values Ord,0.64,,,,
